Numero,CUFE/CUDE
FPLS429,3ee29d30fafee5ae8333e4ad431ec6da7b3202b0f75a6d991ea6fb1700b6d78c0151f01d30a01ac0618893eb679baec8
FPLS428,a340914696f90370a6eff15d0fd552e65b81bc530a276c2784915aa5f59aeff207b5490b770df55ef84ef47ac64e68a9
FPLS427,a0a415d31633de6e1ff51b7fed75231fc7a35ae82740bb65732df826cfcb890e5b1f47173586fad8c24b50cd75ad5821
FPLS426,d7cef8b701d9dac64d298da29f7bc1ade69d0933d043f0f2661293a800a4aade8e26ece7fb444fd795e9462519821696
FPLS425,9a69699c13ad31ba2283c6aad09f848f547c4f263d43e5621a9341250d684ddd0501faeeb32704c1a4602565f614d00e
FPLS424,d13c28ed270ed1459d5f8cbdddd295a00f3ceeada2fcdfde9f25fa3512721c3e01a5e5c9ab3ee807311a2affbf6db75e
FPLS423,986ed4ca3989225a5c50bc02ba09782cd3abee31f2d3cb134650416ec3f50e15ec5c8782ef136f186bada2d13963103c
FPLS422,90394a034bf28718e11ae7bfbb44344cad98c1ba17967c5e6bbd2e609b8f9e5d5b7912f3d56a68f9b49d0632203a55bd
FPLS421,c59c215ba45913b03e592485777da7a650fea19a6f3d3108d4de7e0e15dd1ce0761577eb2a39a445a9f729bb7ea3c00d
FPLS418,f353d315612c1d14f5eba2bf9d244a789a7f5b874a8ed5aa10a60bcf06d9e0c653a09c4a85af0ce7fde9f657e781989c
FPLS417,0c68daebecdab1d2b724ddd8fae3affc9f2401faca127b83ca448a78a112ea45a37f09d63f0dbf412c442c7e7c7e54d0
FPLS416,e71b1c513d064af7eb0ebee4668b656fb1af41a8157d44c671686c71caaeee93f5f316f4d27eadbb4e27cf5884fbea35
FPLS415,106b74fd352d317f8b39ce49f6411fdc7904e6dfb157cc48218bd1699445d736e2ac01e19efbcaf90bafdd37e47470f4
FPLS414,e927d724c0e63505916365c73ba922b4329ce88e16e32067b533dfdefa80e93f41a15ce9a33005d5c1ffde7dff4d74c6
FPLS413,2e0bf737788e9d9ce4a7278190ba2a9e5fac507f2ee26ae2e311699700fd9ffa179f669488e4417543ba415876110f5a
FPSE338,5fac96f13028ab5b6e05a6c129ca6e6dc5266b691788cde4791cd474339cbe0a4e32fcaa946108c950d41b423d0d3f82
FPSE337,45eb1cdd62fb3a0a8829394cbaf6a83a23affe65675c619ef21ea4ee6a7dcdc81c41fdc6bbaa3ee75584c303d4e820f3
FPSE336,8ba0082521c4f4691a064bcc0fe91f3c5d16521319ecdbada923bd4db112db268a24125b8f286a8dea6d5f8743a8cf3c
FPSE335,9952f934871ecf788768d2e02cb4c11989dfd0af18bae1c07b941df0d8f73db802476f192cb6cb14143c71d22b5f12f9
FPSE334,41c9a71b9d51ba1e81dee5fda229036e351533be92aa4502a9a0521de88262c2f8ff54195e629a6eb2469bc22f1c7fdd
FPSE333,810dab1bf144104359e71baf68367e6650e00f50acbce19764858b086a41772d32e1a5fc406aaee3a1dc33ca4e31eb5d
FPSE332,923e6993d52e547c43323c502147228393fbd13c3dfe11b4d51202ebfac3229a181c30029b2d994510b6eb70343e0dc7
FPSE331,3efb4afe9317c376474bb906a6bafcabb7d22f5a6eb2bda4ef5270aa5c260f95028fe724cfef172dcdb5306dbfe70068
